0,0,0,0,0,0,0
1,24,1,59,20,1,1
2,2,2,2,2,58,95
3,3,3,89,85,92,59
4,4,1,4,4,67,4
5,5,5,5,5,5,5
6,6,6,6,6,73,6
7,54,52,7,7,7,83
8,35,37,30,2,8,8
9,9,9,9,9,25,9
10,20,92,51,10,10,10
11,11,11,11,11,11,11
12,25,25,12,25,30,73
13,13,38,58,86,16,11
14,14,14,14,14,32,51
15,15,1,15,92,96,88
16,16,74,16,16,16,16
17,17,17,17,15,71,17
18,18,18,18,18,86,18
19,39,19,11,25,88,24
20,20,20,20,20,15,20
21,21,21,21,21,21,21
22,22,22,22,22,22,22
23,23,23,81,74,23,23
24,24,94,24,24,24,33
25,51,4,25,25,25,25
26,67,26,26,38,26,26
27,68,27,73,10,27,27
28,28,85,32,92,28,28
29,33,29,29,75,29,29
30,30,30,30,21,30,20
31,31,31,51,31,31,31
32,32,32,32,32,32,32
33,88,33,33,33,94,33
34,34,34,34,34,34,22
35,35,35,33,52,35,35
36,71,36,59,88,36,36
37,37,37,37,37,37,37
38,38,38,38,38,38,38
39,39,39,39,39,39,39
40,40,40,40,40,40,40
41,41,41,90,28,41,11
42,53,86,42,42,16,42
43,31,51,67,43,40,1
44,44,44,44,44,44,63
45,51,45,28,45,25,45
46,46,53,1,55,30,46
47,24,47,69,66,1,74
48,90,48,48,48,48,48
49,1,20,88,68,11,42
50,29,50,50,50,50,50
51,51,51,51,68,46,62
52,27,52,96,52,52,52
53,86,53,53,53,53,53
54,73,91,54,92,73,54
55,55,55,55,55,55,55
56,86,8,56,56,86,4
57,18,57,57,15,57,57
58,28,58,88,67,92,58
59,59,85,42,58,59,1
60,14,64,60,60,95,8
61,90,89,61,15,94,21
62,81,62,62,74,16,62
63,95,63,73,38,63,63
64,64,92,2,90,64,64
65,65,65,65,65,65,55
66,66,66,66,66,66,66
67,88,67,81,53,67,67
68,68,68,88,32,68,68
69,42,2,74,69,11,69
70,70,70,70,30,30,20
71,71,71,71,88,30,5
72,53,72,72,74,2,12
73,92,73,73,73,92,73
74,66,74,74,89,2,62
75,75,75,73,75,75,75
76,76,73,18,76,18,11
77,82,1,11,77,77,77
78,78,30,73,78,78,96
79,79,79,79,21,79,79
80,33,88,74,80,88,80
81,81,17,23,81,53,53
82,88,1,82,74,14,74
83,83,88,83,83,83,83
84,84,84,84,84,84,84
85,32,35,68,99,85,85
86,86,86,86,68,10,86
87,96,87,87,18,87,87
88,71,1,88,20,20,23
89,89,89,89,11,89,89
90,73,90,90,34,73,90
91,91,91,91,91,91,91
92,1,92,92,23,92,7
93,63,77,93,57,93,93
94,94,94,8,94,94,94
95,83,95,95,95,63,95
96,10,96,96,96,96,96
97,97,4,97,24,28,97
98,98,98,98,98,98,39
99,99,99,99,51,99,64
