0,1388,6,1015,895,1668,2131
1,89,1718,205,990,1020,1009
2,642,1011,1464,205,1473,1720
3,1453,137,205,1677,471,492
5,14272,61706,15405,8419,1132,79301
6,71,909,63075,1463,470,16662
8,186527,185069,149511,73827,42979,170286
9,473,87,508,2313,193,663
21,656,80212,18837,8035,82224,9308
51,685,17182,4270,186575,380,45009
69,50512,18910,38032,53556,17335,53054
70,22053,34574,39021,27089,78280,8390
71,36706,87690,1553,78864,119636,78105
75,59700,303,60670,1668,5329,107251
87,659,10387,119489,0,37357,80134
88,318,1592,829,11353,45151,17918
89,35847,1690,40097,108603,33618,80458
90,999,47710,437,90034,444,148472
91,118740,4356,97964,182098,148632,71683
94,46970,4298,98053,48069,93761,4298
95,14250,20599,50186,182553,42162,54129
96,9846,1129,10171,151686,50684,55400
97,7019,33522,46331,16108,10536,23414
98,15142,49871,4247,3092,9528,1953
132,1461,601,2289,318,62262,11669
133,33808,87763,10566,97370,1167,1171
134,51386,346,35966,100990,444,1020
135,94,2291,1687,15564,33559,1158
136,2099,1682,188108,1045,76160,2243
137,2139,33559,1028,1460,14854,15038
138,1548,1682,1695,33562,731,1266
139,1998,1921,191337,2060,1998,1835
140,98725,47957,47536,348,1087,76079
141,10127,140297,33578,22058,190787,192264
142,1136,1165,107926,33315,35152,1720
144,35841,106186,76595,117082,2003,57343
145,168545,29689,58200,1005,175934,6051
148,132,4583,945,637,345,67166
154,1410,1138,19103,50889,2117,645
155,819,822,2015,1008,446,1040
156,600,62303,662,128966,54582,4275
157,11116,15094,91151,60869,19418,31394
170,60235,378,79010,47725,5844,33720
171,8782,55778,67544,9513,116968,11311
172,6050,16638,6945,73397,99716,39798
173,14398,4880,18233,14021,12693,99508
174,59205,14498,15331,73094,3952,2764
175,82654,97953,42652,74212,9470,9003
176,3574,33715,6194,9120,2452,17226
177,106963,13304,3384,43427,182553,829
179,57052,36184,57251,12693,896,53645
180,98837,2152,48283,29530,740,81984
181,8802,70363,75255,25248,95433,9139
187,1755,17901,11533,135890,33332,88229
188,142,184641,1008,1967,95,76159
189,169850,1699,841,36863,1987,61925
192,1552,177,1720,512,1300,87
193,8232,42251,1837,86418,52194,37872
194,51390,13702,2048,1634,19014,87690
205,317,494,1011,1040,1989,2013
206,1135,1076,640,870,2043,1789
207,603,1841,2158,1394,844,1747
208,414,1392,1698,1445,607,1991
213,1747,95,288,997,173,406
246,266,1458,515,1467,1473,365
247,2139,1995,511,1684,826,2206
248,154,1157,1470,90,994,1301
250,1918,716,2002,2311,417,716
264,15032,81810,103538,43799,45683,43263
265,9424,585,43491,14694,5385,149064
