0,1388,79307,1840,448,1835,407
1,1720,11674,737,172,1039,2913
2,1048,94280,1089,60180,2119,18589
3,511,10390,841,507,171,77566
5,1923,130076,1030,7858,2008,153044
6,152404,66668,17505,87103,74282,11126
8,1007,9945,1157,1682,184689,160956
9,507,1171,1526,54908,1950,14193
21,2114,428,176031,60711,90096,16024
51,1163,136172,1280,7216,113744,37957
69,39152,41073,36829,33816,186511,128445
70,60974,123133,8036,60323,829,4774
71,148739,175425,17178,16590,12088,149048
75,48305,160419,58429,54991,2236,118642
87,1345,35290,89800,75412,71602,35620
88,97954,106797,2462,39865,877,1125
89,14272,136035,79411,148884,20602,110944
90,17953,16523,91459,89800,61710,193256
91,5708,22420,44602,148879,50200,118562
94,97330,18812,2700,14871,16043,17082
95,17008,13600,34636,94707,42723,2552
96,99093,5242,5355,17551,55139,33255
97,15478,99398,99032,97772,72270,98251
98,4304,73677,8096,4350,44185,114448
132,27980,26520,98726,14103,340,1495
133,33817,98164,33817,33579,76028,168125
134,1040,98321,4360,38864,191260,4163
135,18476,190850,87112,191009,77566,1280
136,191896,33581,1041,11668,2154,19725
137,603,74382,1526,11883,178813,191941
138,40888,74204,694,1409,2152,28586
139,2046,42521,5643,14167,47534,6590
140,98625,65318,56950,49308,12449,28234
141,2180,2119,514,17063,74512,5515
142,661,20602,142550,71063,1670,1682
144,4901,4092,41725,9047,8576,15478
145,91148,5771,1410,1457,4560,87891
148,3464,81525,117432,19932,837,54550
154,2467,7307,115904,83292,56025,54598
155,1686,1385,18462,2884,33008,105533
156,74428,42133,35756,59508,97604,31398
157,23047,9976,116682,60829,37609,35010
170,23411,104296,149063,32253,24713,184716
171,77888,62602,6659,3127,73353,5607
172,1280,660,744,14143,14869,86652
173,5666,131040,87663,10452,37827,39313
174,17608,114825,8518,73692,38734,85175
175,1280,1462,8749,52793,5853,3733
176,2605,14209,28373,87743,8716,8291
177,15938,80551,136299,2419,64539,8849
179,56281,153319,33238,74194,77832,1006
180,1715,169630,16249,12336,9312,82842
181,9093,2556,36049,93629,29445,63304
187,6619,136200,17432,27545,1717,1167
188,135,134,1307,12055,187710,2989
189,1747,1987,21407,36609,35847,4345
192,418,170,2311,88494,142,174
193,42943,87597,208,1891,56686,52105
194,64073,2738,62642,4534,15222,11347
205,989,1089,995,17296,1020,96
206,474,177,845,55376,711,128490
207,439,996,1089,28062,1590,945
208,1994,2883,1683,1909,1637,79572
213,1664,1028,1917,1661,1717,250
246,286,179999,735,1216,858,265
247,17183,35073,2151,64470,1998,2004
248,990,14649,642,511,2019,49563
250,1086,592,474,1386,2093,50179
264,43915,12433,15505,17235,27984,15509
265,3481,130495,18394,17565,60308,95456
266,18783,133382,8505,64498,4418,42504
267,8592,135894,17239,15083,5149,5472
268,54543,27021,141797,91231,1042,33710
280,78271,66253,9858,13148,62052,10738
283,2004,47708,17685,15405,72345,73314
285,34376,75620,1552,79679,48492,62167
