0,0,0,0,0,0,0,
2,2,2,2,2,2,67,
3,3,88,3,3,3,3,
4,4,4,4,4,25,25,
5,5,5,45,5,90,39,
6,6,6,6,6,6,6,
9,9,9,9,9,9,9,
11,11,11,2,11,11,11,
12,12,12,88,12,90,71,
14,14,14,37,81,14,14,
15,15,15,15,24,15,15,
16,94,15,16,46,53,94,
22,22,22,22,22,30,22,
24,24,24,73,30,24,24,
25,25,16,25,53,73,62,
26,26,2,2,83,26,26,
28,28,28,12,28,28,28,
29,30,29,49,96,29,29,
30,30,30,30,77,92,30,
32,53,85,32,32,32,32,
33,69,28,33,53,92,33,
34,25,34,90,34,34,34,
35,0,35,35,81,35,64,
36,36,30,28,78,36,36,
37,37,37,37,37,51,37,
39,39,39,86,39,67,39,
40,59,40,40,40,3,40,
41,11,41,92,41,41,41,
42,22,82,42,50,42,42,
43,43,43,43,43,43,43,
44,4,44,40,44,44,63,
45,45,45,45,45,25,45,
46,67,46,46,30,51,53,
47,24,47,28,88,85,47,
48,81,48,24,48,48,48,
49,49,49,49,51,30,49,
50,50,81,30,64,16,59,
51,51,51,59,51,51,51,
53,53,53,53,53,53,53,
54,54,54,54,54,54,54,
55,55,55,55,37,55,55,
56,5,30,43,56,15,56,
57,30,61,81,22,22,57,
58,58,59,92,73,28,58,
59,59,28,67,59,47,59,
60,60,60,60,60,16,60,
61,61,59,61,61,61,22,
62,63,86,62,43,14,62,
63,63,63,63,63,63,63,
64,49,73,64,64,30,64,
65,65,65,32,65,65,65,
67,67,67,67,67,67,96,
69,88,88,69,69,69,69,
71,71,71,71,71,88,71,
73,77,73,73,88,76,73,
75,75,75,33,75,73,0,
76,77,58,30,3,76,12,
77,37,77,73,25,81,30,
78,78,29,78,78,96,96,
79,79,79,79,29,61,96,
80,80,78,80,80,11,29,
81,88,81,81,3,81,81,
82,63,71,88,82,82,25,
83,83,83,83,83,33,15,
84,84,84,84,77,33,5,
85,85,85,85,42,85,99,
86,86,86,88,86,86,86,
87,22,87,96,4,87,28,
88,99,88,36,88,22,88,
90,90,85,67,90,90,90,
91,36,91,91,91,5,54,
92,96,92,92,92,92,92,
94,94,94,94,94,94,53,
95,95,88,85,95,59,95,
96,61,62,96,96,96,96,
97,97,96,92,97,92,53,
99,99,85,99,99,85,99,
