0,592,285,51,2175,1312,992,
2,144,656,1720,140,1385,145,
3,1034,1068,2209,733,141,2151,
5,50299,45523,40583,364,14698,61572,
6,6894,16565,659,415,17181,13700,
8,16128,28011,23088,280,39512,33213,
51,60617,7820,38895,25288,50558,1686,
70,8161,30243,24001,23416,37434,37434,
71,1087,10553,9011,7541,13599,38622,
87,2017,74903,62162,63025,1003,12399,
88,15083,8187,1691,60235,11877,8394,
89,16770,60320,7722,14710,40303,2695,
97,9029,14498,16350,8592,33802,46015,
132,315,51378,33815,142,26082,144,
133,55675,26082,53438,22107,140,2021,
134,33562,51383,1137,641,133,62017,
136,1495,1891,504,507,47244,15570,
137,604,11355,1601,3322,1279,694,
138,22058,19045,27979,1134,74379,1891,
140,713,1717,14145,2320,33565,1842,
141,1003,33579,33580,33565,3151,15114,
142,47957,14192,2016,33893,42360,2233,
144,822,17958,531,5384,11682,73433,
145,75612,12111,11045,5772,15503,11660,
148,60244,10171,1989,37369,5228,59741,
155,18350,46118,11039,640,18323,50673,
156,56831,1004,10428,49032,16907,13419,
157,26928,9967,2311,24873,4688,6705,
170,17341,53727,4603,1717,38615,49906,
171,5176,29859,74956,7415,46721,61570,
172,38618,9014,65895,9968,56437,49064,
173,3960,3376,34046,37827,60447,5641,
174,48252,5444,43554,1472,9542,5903,
175,1031,28235,6105,18069,1005,8159,
176,6944,62545,5513,49216,3294,18362,
177,3804,62252,22993,73507,4498,46217,
179,54872,67137,5642,1050,42858,55035,
180,16644,34726,39041,5300,59260,11877,
187,16412,48056,4962,2766,58911,13912,
188,53018,171,4305,2014,11190,510,
189,8072,640,16956,19413,43524,5380,
192,49737,61397,187,16165,2663,1012,
193,11227,9536,16070,9382,18812,15317,
194,25948,54552,66530,442,36607,12589,
205,314,1132,445,659,2289,1745,
206,1464,1590,1696,845,706,2018,
207,822,290,1266,1716,1590,1680,
208,250,1008,1044,1050,349,1471,
213,1076,1987,1168,428,1468,0,
246,56300,923,731,828,33395,1535,
247,340,11827,706,1535,48357,987,
250,6036,14065,3667,180,2008,73434,
265,17540,13849,11669,11210,26004,2555,
267,37369,48357,8748,36283,22788,63439,
280,24820,4657,6963,8569,38135,9516,
285,39017,1030,1836,2048,71,3596,
286,1014,15570,16021,16496,1451,25787,
287,2243,1016,328,588,662,1308,
288,890,51,1163,2005,705,1142,
289,439,644,2015,987,662,989,
290,1987,11052,1917,11528,34509,25352,
303,49410,70413,27930,60025,18070,2139,
314,13913,4345,9691,638,75639,72427,
315,5856,49631,45004,3592,27368,2243,
316,1003,74458,6699,1010,47140,97,
317,40303,17065,8716,1012,59549,29977,
318,12408,16928,65902,2388,877,134,
328,3223,44605,71979,4689,5193,24585,
329,75522,8197,12708,20138,2243,4971,
337,13965,155,5888,17685,54665,14190,
340,382,74504,7121,51429,74875,1842,
