2,163,5287,4227,3709,3265,2205,4468,3477,4607
5,1271,2070,4543,6019,3930,5896,5234,2703,123
6,3320,4153,2804,4601,438,139,5185,4379,5643
8,1765,3023,2792,2865,5148,1958,3736,3476,3401
9,2020,5991,2636,1958,62,220,1943,147,3299
10,307,1753,49,4458,408,3562,4954,1173,5365
11,3371,270,4502,4726,770,3156,2621,5569,1483
13,1587,499,2631,5369,749,741,4678,1422,2038
15,5722,2892,1263,4090,4682,1051,3313,204,4789
17,2682,4084,1152,2077,1884,457,208,370,2727
18,4085,3433,3697,3182,1285,157,1800,4291,1495
19,3654,4203,5974,5517,242,4801,802,4491,3849
22,3201,390,563,2153,5788,5767,1980,970,3766
23,3539,919,631,3790,4808,3903,5128,4360,2599
24,3378,3592,5086,393,1099,2060,19,678,3507
25,1358,1380,68,1926,5039,5333,33,4169,5205
26,1943,3272,3705,1685,2506,2170,2378,4916,5394
27,4156,4682,4207,1794,4869,5349,5021,926,1680
28,1109,2818,3341,5387,2609,4354,1069,1128,28
29,4169,1019,3833,746,445,5903,2010,24,4510
31,5794,2996,5972,543,3519,1088,4227,392,729
33,4253,415,2436,2454,235,453,929,1831,199
34,95,5568,2011,1744,2986,2497,5060,743,5352
35,4448,1594,5018,1658,2805,4476,5728,4190,1150
36,5367,531,5603,4447,5107,1941,5276,4169,2691
38,45,5888,4042,2167,4633,4054,743,2140,1181
39,504,5788,3483,5283,2010,1676,4921,2092,3261
40,1274,2793,543,5543,4666,4725,1727,2787,2934
42,1418,2030,2004,4274,5911,1137,2082,5788,4882
44,5837,5600,881,1340,4918,5107,2249,5287,2308
45,4897,4009,1141,2887,1941,3146,5156,3423,5954
48,3414,4635,1880,1790,4152,4107,366,4001,1001
49,550,563,3659,3683,602,2880,705,3538,5340
52,543,137,2929,2907,1015,5942,3311,3578,1516
53,817,1675,3272,4437,3227,2378,4748,2203,4732
56,475,2804,1658,752,641,5389,551,1150,2120
57,181,3669,629,5824,1357,5158,939,2077,3951
58,3931,2909,2203,5458,638,3611,1917,5636,4156
59,1748,2380,2120,5561,2572,3487,5074,5271,1702
60,2564,3358,5367,4354,2777,2235,2262,3902,3401
62,1015,1437,5394,3833,5812,4918,2125,3430,5317
63,3308,3411,4088,3471,1698,4285,2109,2842,3808
65,1389,4579,1922,5512,4650,4927,1112,2038,543
67,1556,869,5504,4521,5260,1628,949,3359,5387
68,5323,3301,5622,1105,4592,5555,2323,4879,26
69,1796,3410,4543,1383,3825,1448,727,3151,2757
73,2751,4371,2012,3308,1483,5011,2743,2986,4007
75,1983,2968,1556,5502,5256,2023,195,3607,3724
76,1059,4458,955,2645,82,5763,5920,4737,3380
