1193,2769,2890,2706,3461,508,3868,3359,3362,144,
661,2137,1995,2858,1210,290,2376,2408,745,1625,
914,458,534,367,3504,1200,3185,2621,2827,2366,
3408,2746,745,1217,2193,3408,1799,3623,39,3461,
2355,474,2997,3489,3163,852,1969,2959,1185,1378,
1197,1022,1127,2528,1196,1225,1226,1573,3301,593,
1287,2019,1225,3551,1620,2530,592,593,1304,1197,
2804,905,2155,799,1946,3175,1249,922,3468,367,
594,2160,1876,2146,1233,616,2106,235,2915,3105,
919,802,3489,1205,1946,1954,2858,237,2161,3104,
595,1079,1213,318,3044,1059,3685,1380,924,435,
938,918,2112,2078,3135,497,908,647,3269,594,
2398,253,1270,508,973,605,3766,2528,1097,2692,
2918,1032,3105,2262,3741,356,1584,296,3793,3785,
1035,3743,1302,919,2808,3104,1227,2782,2805,1704,
2791,2723,2000,47,2421,3035,671,1673,597,2291,
2687,2871,3107,595,2280,2599,1954,3256,3535,1073,
2018,3469,2145,2919,3256,608,3451,1393,2485,3702,
3105,1235,3256,991,500,1687,3177,3545,780,1393,
2797,1097,3484,2352,2710,515,2877,1719,589,3704,
2321,1210,1147,2321,2976,1391,1635,198,2406,2338,
720,3578,3081,1223,1199,1909,3479,364,1320,2598,
1270,3114,1203,1687,596,780,804,17,1240,1278,
527,1527,2582,3608,1046,2167,1285,2944,931,2028,
2340,474,2997,2087,466,924,377,2072,539,3316,
48,39,1923,1292,569,1022,1,914,1028,3396,
1097,1401,2841,2712,50,3257,1573,3751,1210,982,
1721,50,3527,788,866,1302,1625,2915,60,3354,
1545,1642,1503,2393,3526,2133,2686,3152,2394,1233,
745,2014,2901,474,318,266,2752,2273,919,2997,
2294,1966,2355,653,2355,3253,1674,1377,300,2042,
3186,1957,2723,1917,1231,551,344,1193,3426,1620,
1566,502,1702,1591,2687,2694,2394,1198,176,442,
588,1280,2371,2797,1094,3481,3398,1248,2002,329,
1907,2781,2115,3327,3440,3897,1487,529,1544,2373,
783,586,1220,534,1474,3175,303,2333,2269,788,
1836,1693,2600,344,1254,3448,293,1298,2167,2303,
1022,3471,350,653,593,1282,1088,2642,2143,3702,
2762,2997,2806,3543,1188,529,1186,1077,2908,788,
150,3882,3911,969,2822,1552,2085,3296,225,1952,
1,3362,538,2770,2004,1876,1077,1610,527,144,
1961,2804,1721,1304,2699,912,1374,357,2488,1721,
1962,216,592,2712,2253,1345,3418,1271,2300,2018,
2692,2731,2336,1215,2947,3525,1321,1097,2701,47,
260,750,1320,2605,3114,912,3060,924,1057,2490,
1028,593,1722,307,2140,2968,260,198,3608,2083,
1029,2797,2971,372,2881,1219,2114,1196,919,2699,
1207,34,246,3507,3424,1242,50,50,1197,1719,
2028,1883,2294,1617,3508,1208,3261,3408,1370,371,
531,913,1230,1350,1027,2355,1,955,3708,908,
3114,1007,2084,1580,648,3701,2791,1307,2407,3253,
608,2433,1924,170,2716,3723,551,2858,2303,592,
1246,110,778,515,1244,948,1396,2970,1409,1,
1357,3826,912,2706,2289,805,3741,3614,914,509,
3068,3361,2064,380,3253,3020,2710,3112,3079,3868,
1537,2248,232,3159,913,356,1220,362,111,2622,
647,3771,608,1073,2006,318,306,609,2628,3723,
2194,2628,3256,1967,2243,2023,3654,647,1394,440,
648,648,861,2108,724,1374,2792,2890,1937,806,
2268,480,1296,3176,1022,2728,1089,3744,2997,595,
2628,2088,265,1307,1702,1246,1197,1378,2252,2002,
1103,2439,2403,1944,3685,1956,1250,1945,3671,3168,
2916,2872,2338,3066,1120,1307,22,2797,1240,1136,
3468,34,1247,3538,900,1240,733,379,2791,1080,
1210,1136,1127,429,608,2013,2716,3082,3745,3238,
1792,1594,3699,380,2118,292,172,429,3593,3489,
1687,2763,2605,3363,2761,236,1912,1968,1965,2539,
1213,3534,47,3789,457,574,1101,1196,2095,1096,
3578,2770,1,1784,2671,3565,500,3786,2713,1213,
2881,1660,1647,1513,2070,2948,368,1686,1483,3173,
3030,3210,1199,3819,3504,3504,593,903,1079,162,
1217,608,3054,2391,379,1217,2367,1217,1287,538,
434,552,1387,32,3893,1262,1597,349,1608,1377,
2126,1892,2377,348,1907,3108,1391,3751,235,3219,
3107,296,2296,2694,3211,3082,2858,2688,558,2890,
3108,3362,2496,1302,1797,2718,3681,2454,122,2324,
3035,3189,805,1178,288,982,1909,1215,1103,1373,
1253,1219,2100,1189,3448,3062,318,2965,1356,2827,
1610,2291,2259,222,350,3316,3148,1653,3671,2746,
292,2841,3148,2448,1333,482,21,3185,2712,800,
2236,508,471,180,509,1221,50,1404,1513,3809,
3071,3545,246,1265,1186,1224,1374,3675,24,1397,
902,3253,171,153,2321,902,2124,29,2013,3145,
368,2473,3703,2762,2502,2002,3729,1573,2278,1127,
1259,1597,2580,800,31,428,2571,3396,910,366,
3147,3147,1339,318,24,2506,587,930,3355,2353,
1544,2707,2720,1954,1673,2643,3623,3249,2232,2710,
1293,3082,50,592,3412,2034,3046,2303,2518,908,
1188,587,1343,492,671,1307,3543,1126,2105,2108,
3255,2791,235,1234,2409,2706,587,2890,3671,1214,
3256,3019,125,1028,3006,2302,457,1597,858,110,
3257,2291,3396,2105,1221,1461,95,1393,2568,1399,
110,1198,11,930,1460,2000,434,500,3476,474,
2278,2723,2011,111,1291,1213,1215,2,2028,1096,
2490,2676,2028,104,2300,1912,2988,736,292,1732,
1834,260,2250,1079,1200,1089,2527,58,2024,423,
3471,3098,1032,1270,3398,273,2291,1213,3527,3516,
589,2985,3793,3354,2599,442,480,1589,1734,1968,
1690,2688,930,153,2616,3087,3060,413,2329,1220,
3654,922,2949,597,3801,1036,1682,2890,553,3591,
2852,3424,1704,1958,1214,2130,1035,2401,265,3430,
1945,2398,1262,953,3070,1964,1279,1148,923,593,
982,1208,1273,356,293,3099,2716,2245,1247,912,
1873,1270,2099,924,3744,3740,1097,1393,3362,3879,
2858,3452,432,1225,608,589,926,2145,1230,3702,
1225,2968,1307,318,3571,858,2006,1009,110,1259,
515,3623,1282,1092,2747,25,3476,3328,1488,2706,
442,1920,329,442,1266,173,2707,1370,2722,2600,
2312,588,1095,1225,2745,537,3398,1196,2193,2396,
265,2858,1060,3100,2396,1404,1224,3246,673,2520,
1408,362,1233,3623,1947,1196,306,3175,25,597,
1084,1190,1193,162,1307,357,110,2565,111,1234,
3699,1972,3669,3198,1957,1500,1097,3471,502,3628,
480,2687,839,3836,2329,2394,3578,3917,2405,153,
1442,562,1387,1380,1527,858,345,2144,2804,3255,
2067,3142,593,2301,1185,2683,2530,916,527,538,
1265,2804,2599,357,2791,1374,1183,1616,2065,1264,
1370,2571,3476,1907,3703,1206,2136,2423,2396,750,
1801,838,2301,804,1103,2548,2336,2006,1485,1301,
1372,2617,1704,480,3159,2762,2173,3107,1544,1584,
2353,3755,1608,3176,1643,3404,589,1178,2879,454,
3334,141,549,2791,1211,2656,3061,3441,2469,3028,
2427,2677,2427,2331,1753,454,1391,10,1729,1961,
590,1537,2836,1682,34,2355,466,2353,3614,2064,
1196,2808,3578,1907,2193,3072,1953,73,361,543,
1552,2529,2683,3555,2476,3889,1291,1792,3219,1411,
736,3146,3785,1096,2548,648,2640,861,88,2455,
1198,904,1959,260,3624,919,2877,2105,3189,594,
593,3764,1674,3457,2966,2457,2770,1249,2407,2959,
2359,3578,926,1801,2067,3751,2188,2883,2075,293,
95,592,382,2058,608,2291,1573,1036,1136,3545,
2717,678,2729,3577,3087,3524,1644,2248,2283,1480,
2571,2467,1270,1247,2805,457,380,2080,473,349,
1917,3753,1693,153,362,2851,3274,2329,1270,2012,
2396,832,1230,516,1267,920,1580,3006,1894,163,
3735,1244,3873,1635,492,111,1073,2580,912,3033,
1953,3624,2424,1057,2163,2669,2300,2202,3669,353,
1597,1367,225,2028,3156,1597,1084,2321,1527,2151,
3809,954,1779,516,2336,205,2413,2355,18,2249,
1954,2916,2571,2791,2513,1270,1167,3509,2916,2950,
1955,272,1190,1290,235,1064,1394,3258,518,2018,
235,2527,497,1845,1213,1204,3200,2944,3180,2174,
1124,3712,1292,1445,2333,3608,50,2916,3952,2432,
1957,541,1960,1299,296,590,1208,595,1958,1957,
163,1500,1639,3083,1441,3704,3044,3745,2908,508,
21,1961,1387,1940,1694,733,3769,1641,913,25,
165,1090,1752,338,316,3180,1291,1259,3633,1721,
1090,1258,1250,1214,2336,3022,1945,2028,2000,3062,
380,2983,2762,3501,2023,3477,1515,2889,2735,1445,
2501,344,322,1449,2858,858,1147,234,1379,2648,
349,3053,2297,1591,16,1223,1304,507,527,266,
457,2043,2616,2021,1225,2713,1784,2000,1356,1573,
1096,1266,1584,2070,380,1235,12,3764,111,260,
920,2013,1088,1721,1231,490,1784,1226,1198,1247,
459,424,3727,3256,2530,920,3543,1639,11,1257,
1527,3176,1614,2826,1963,3160,1352,2709,3685,1291,
3418,1883,2641,1372,2872,1196,2334,2302,3090,350,
1385,196,2417,2617,3196,1030,1136,1214,204,1130,
3451,3618,1041,3649,1429,1518,2919,2700,2312,2353,
3095,908,1204,919,3100,920,1729,2391,2863,902,
780,2318,780,2421,3104,2352,2268,1569,1042,2100,
2728,2135,2657,2100,1198,1228,1088,2363,2289,3577,
2002,1580,3897,1284,34,2719,2769,253,1306,2403,
1784,2193,300,531,1639,3466,2108,3535,2133,2580,
2943,2020,2349,3507,3296,353,2396,2762,457,596,
2006,2710,3175,322,1247,2531,1018,2808,708,2455,
318,2791,380,2490,1126,293,527,153,372,2539,
1968,272,904,1371,21,3706,344,3744,3088,2336,
3678,1673,3699,2171,1035,1220,1267,3624,1219,3671,
1244,52,904,1950,2302,1221,3316,3763,2085,1078,
356,3788,10,3503,1092,2762,2936,2571,2739,342,
1245,1249,1969,922,2245,47,1293,1295,440,1242,
3893,32,1197,3825,2264,1270,2276,3498,367,111,
1247,1617,32,3430,299,1253,524,3671,1231,541,
3421,648,1594,2947,2193,3041,2580,1230,34,1294,
1641,3703,1391,474,1296,1042,1676,2134,431,1610,
1394,3448,3703,2396,2795,3264,1266,1633,1965,1394,
3534,2058,2145,3798,261,535,2700,2571,357,3081,
104,364,1977,2611,260,998,1356,3552,2683,3591,
2735,1527,552,428,2616,2456,2085,2550,1291,2717,
1431,540,3835,1957,371,3948,2393,317,1752,194,
