39,288,164,2114,1517,1912,786,3755,1036,208
2336,260,2628,3105,2394,2581,2021,497,2133,3543
288,3852,3513,2373,196,1721,1214,1022,2997,1358
3425,1343,2203,1649,3508,3090,2076,3617,1089,2857
2268,1732,1258,2859,3726,3681,2398,1405,110,3844
1466,185,316,3387,788,253,538,1199,3032,2908
1393,2822,2527,2042,3298,2803,3033,836,198,152
1682,185,3535,2716,1722,3948,953,1682,3535,3259
2916,1485,348,2991,2759,3697,3755,590,161,605
506,293,1912,1214,2571,1204,594,2300,1080,3328
508,1208,1240,1909,2668,2416,293,3006,1425,3717
3213,2111,428,34,1265,3527,742,1432,3471,1340
42,48,2027,1623,661,2327,2616,1658,908,329
650,708,1610,1722,608,3608,2668,17,95,593
3500,2374,3688,737,5,1748,3255,58,597,2154
296,351,3408,1985,1327,1240,3529,541,3467,39
3147,2174,1580,2321,3543,2598,34,2340,2002,3176
3148,3285,3536,1704,1784,367,349,173,2580,2243
2702,223,3773,2734,1280,1916,1527,457,1374,2093
2278,208,653,70,47,2794,2796,907,1198,588
1476,3717,832,3701,3000,340,1542,1485,2022,2694
2490,2580,69,2160,1240,3479,1247,1197,1294,2701
589,3479,3301,293,2948,2671,2724,2688,1120,1263
1836,3359,1197,2750,2329,1219,694,3359,2076,1882
1693,1606,2915,471,2003,2321,818,538,2023,1214
150,2249,750,2206,2414,3551,72,34,3699,3357
151,1215,356,2336,2336,3178,1210,2791,62,1955
1,1387,3545,2132,1259,1358,1228,337,2313,2106
4,293,1552,2002,2899,3717,2433,2716,70,3697
3006,333,1258,3893,2005,2357,3163,2028,2858,1219
2858,345,357,260,2692,1036,1610,520,2567,3932
1621,3923,553,356,350,1960,2134,2600,2921,256
1265,1544,1804,909,2078,1220,229,2391,2394,1256
733,1266,1947,1498,2986,733,2628,3504,317,1204
377,3578,2692,3168,1945,2324,648,1387,2473,3576
3155,2692,2294,586,3441,2571,3466,3155,34,3251
2427,1089,1909,2028,1101,2403,3697,2694,3578,293
58,1032,1334,1845,1101,1416,1582,3481,3809,3362
2712,3578,500,953,2115,2070,1250,945,2018,3911
2429,2089,316,2995,2699,3699,337,58,458,2956
1840,2687,708,2395,2858,3039,1589,2761,1233,720
2571,48,2807,1198,144,468,446,3035,3107,1275
1916,1092,1358,2114,354,22,3266,2036,1918,3846
1488,1394,2528,1616,996,852,1584,1917,3527,1986
230,508,1914,2427,357,2456,2012,2183,3,1029
1120,1077,1500,2690,2987,2478,2628,553,1573,2804
161,2716,2396,1343,1198,344,479,3861,329,23
163,317,1586,230,1204,3471,3296,1805,370,3479
1411,553,3793,2906,47,3706,2398,1242,2236,1234
524,2948,3681,2141,802,354,2455,255,1243,1020
1059,1702,673,1962,110,2788,3675,1028,180,1673
527,356,858,527,2699,2677,527,2468,780,509
454,1841,3809,1206,924,2433,162,2012,1307,628
1701,193,3408,3308,2871,2622,2900,532,2531,144
1274,3159,101,2404,2423,2067,2290,1464,2790,3740
741,29,1291,318,1020,3042,3361,110,2371,246
1704,1610,1610,1923,1498,412,333,454,454,553
1277,348,1658,2657,2096,163,303,1213,2917,21
2291,170,3535,3509,1304,356,2372,339,2746,3916
1639,588,899,1233,911,2085,3785,2532,3169,3538
3528,2208,3726,3363,28,1704,3873,2580,1591,2600
2297,1393,902,3451,3016,2174,1944,3394,748,1256
3386,2542,1674,2353,1916,2687,1206,1020,1225,673
2006,2433,3198,110,2174,880,3405,3396,3108,2826
608,23,748,788,2551,339,70,110,1210,551
465,2502,3396,423,2433,514,1993,32,1648,736
1711,2908,3033,150,3918,3252,2011,349,2950,1909
538,762,236,1639,1649,2973,1198,236,2724,1135
393,1193,3016,1049,1562,2633,1084,1356,3527,2106
2442,3946,36,2947,2571,1394,1610,1231,1035,3504
1357,1378,464,485,1731,36,3260,1374,2728,1663
73,1362,920,2321,2302,3448,1344,337,1396,2001
3246,288,79,1291,2640,1625,2874,1235,1197,3701
3173,1997,1799,3786,1955,3334,2973,3462,1645,2769
1573,2692,2094,2916,1246,1372,158,3079,3882,44
105,3623,1779,1254,3448,1198,6,3471,2670,3952
1210,905,2948,231,3893,3266,1500,1946,931,3263
1213,1225,1096,3952,942,3702,2531,1617,3355,441
253,2525,1085,2336,455,432,230,253,2700,1359
3105,1321,2827,2950,2262,1031,1356,306,2335,3844
3107,1375,842,921,2253,2469,1440,2826,3916,3108
